Store_Dept_Date,Weekly_Sales
1_1_2012-11-02,7326.372
1_2_2012-11-02,7326.372
1_3_2012-11-02,7326.372
1_4_2012-11-02,7326.372
1_5_2012-11-02,7326.372
1_6_2012-11-02,7326.372
1_7_2012-11-02,7326.372
1_8_2012-11-02,7326.372
1_9_2012-11-02,7326.372
1_10_2012-11-02,7333.662
1_11_2012-11-02,7313.4866
1_12_2012-11-02,7321.4986
1_13_2012-11-02,7300.9012
1_14_2012-11-02,7300.9012
1_16_2012-11-02,7300.9012
1_17_2012-11-02,7354.8932
1_18_2012-11-02,7354.8932
1_19_2012-11-02,7292.2426000000005
1_20_2012-11-02,7292.2426000000005
1_21_2012-11-02,7271.4974
1_22_2012-11-02,7252.585
1_23_2012-11-02,7250.991000000001
1_24_2012-11-02,7250.991000000001
1_25_2012-11-02,7250.991000000001
1_26_2012-11-02,7250.991000000001
1_27_2012-11-02,7250.991000000001
1_28_2012-11-02,7250.991000000001
1_29_2012-11-02,7250.991000000001
1_30_2012-11-02,7250.991000000001
1_31_2012-11-02,7250.991000000001
1_32_2012-11-02,7250.991000000001
1_33_2012-11-02,7250.991000000001
1_34_2012-11-02,7250.991000000001
1_35_2012-11-02,7250.991000000001
1_36_2012-11-02,7250.991000000001
1_37_2012-11-02,7250.991000000001
1_38_2012-11-02,7250.991000000001
1_40_2012-11-02,7250.991000000001
1_41_2012-11-02,7250.991000000001
1_42_2012-11-02,7250.991000000001
1_44_2012-11-02,7250.991000000001
1_46_2012-11-02,7250.991000000001
1_48_2012-11-02,7250.991000000001
1_49_2012-11-02,7250.991000000001
1_52_2012-11-02,7250.991000000001
1_55_2012-11-02,7250.991000000001
1_56_2012-11-02,7250.991000000001
1_58_2012-11-02,7250.991000000001
1_59_2012-11-02,7250.991000000001
1_60_2012-11-02,7250.991000000001
1_67_2012-11-02,7250.991000000001
1_71_2012-11-02,7250.991000000001
1_72_2012-11-02,7250.991000000001
1_74_2012-11-02,7250.991000000001
1_79_2012-11-02,7250.991000000001
1_80_2012-11-02,7250.991000000001
1_81_2012-11-02,7250.991000000001
1_82_2012-11-02,7250.991000000001
1_83_2012-11-02,7250.991000000001
1_85_2012-11-02,7250.991000000001
1_87_2012-11-02,7250.991000000001
1_90_2012-11-02,7250.991000000001
1_91_2012-11-02,7250.991000000001
1_92_2012-11-02,7250.991000000001
1_93_2012-11-02,7250.991000000001
1_94_2012-11-02,7250.991000000001
1_95_2012-11-02,7250.991000000001
